ID DISTRIBUIDORA;PERIODO;CONJUNTO;COD CONJUNTO;NUMERO UCS;DECTOT;FECTOT;DECXP;FECXP;DECXN;FECXN;DECIP;FECIP;DECIND;FECIND;DECINE;FECINE;DECINC;FECINC;DECINO;FECINO;DECIPC;FECIPC;DECXPC;FECXPC;DECXNC;FECXNC
5160;Janeiro/2023;BRAZLÂNDIA;16023;16.437;1,01;1,71;0,00;0,00;0,00;0,00;0,00;0,00;1,01;1,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Janeiro/2023;Mangueiral;16840;35.141;0,74;0,74;0,00;0,00;0,00;0,00;0,00;0,00;0,74;0,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Janeiro/2023;São Sebastião;16841;29.923;5,15;1,31;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,34;0,00;0,00;4,93;0,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Janeiro/2023;Paranoa;16842;49.038;2,21;1,35;0,00;0,00;0,00;0,00;0,05;0,01;2,16;1,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Brasília Centro;12668;12.683;0,32;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Ceilândia Norte;12671;81.246;0,65;0,46;0,00;0,00;0,00;0,00;0,00;0,00;0,65;0,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Contagem;12673;32.125;0,99;0,41;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Gama;12674;51.559;0,44;0,26;0,00;0,00;0,00;0,00;0,01;0,01;0,43;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Santa Maria;12680;42.816;0,53;0,57;0,00;0,00;0,00;0,00;0,00;0,00;0,53;0,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Sudoeste;12681;34.264;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Vale do Amanhecer;12683;21.133;1,19;0,70;0,00;0,00;0,00;0,00;0,09;0,02;1,10;0,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;PLANALTINA;15621;44.487;0,57;0,28;0,00;0,00;0,00;0,00;0,06;0,02;0,51;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;NÚCLEO BANDEIRANTE;15623;20.594;1,40;1,57;0,00;0,00;0,00;0,00;0,07;0,02;1,33;1,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;RIACHO FUNDO;15624;34.877;0,87;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,87;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;ÁGUAS CLARAS;15625;92.776;0,12;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,12;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;MONJOLO;15626;77.478;0,68;0,49;0,00;0,00;0,00;0,00;0,00;0,00;0,61;0,45;0,00;0,00;0,07;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;PAD-JARDIM;16013;2.751;4,13;2,32;0,00;0,00;0,00;0,00;0,00;0,00;4,13;2,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;BRASÍLIA GERAL;16014;59.997;0,07;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,07;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;HÍPICA;16015;12.273;0,23;0,14;0,00;0,00;0,00;0,00;0,02;0,01;0,20;0,12;0,00;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;ASA NORTE;16016;77.700;0,16;0,14;0,00;0,00;0,00;0,00;0,03;0,01;0,13;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;LAGO NORTE;16017;17.359;1,60;0,65;0,00;0,00;0,00;0,00;0,01;0,00;1,59;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;SOBRADINHO;16018;31.108;0,56;0,27;0,00;0,00;0,00;0,00;0,15;0,12;0,41;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;CEILÂNDIA SUL;16019;83.609;0,65;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,65;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
